Item No.,Item Description,CPT,Price
 2603398,CT L-SPINE W/O CONT,72131,"$3,137.00"
 2603399,CT L-SPINE W/WO CONTRAST,72133,"$3,829.00"
 2603403,CT PELVIS W/O CONT,72192,"$2,241.00"
 2603405,CT PELVIS W/ CONT,72193,"$3,255.00"
 2603407,CT UPPER EXT LT W/O CONT,73200,"$3,049.00"
 2603408,CT UPPER EXT RT W/O CONT,73200,"$3,049.00"
 2603409,CT UPPER EXT LT W/ CONT,73201,"$2,060.00"
 2603410,CT UPPER EXT RT W/ CONT,73201,"$2,060.00"
 2603411,CT UPPER EXT LT W/WO CONT,73202,"$3,465.00"
 2603412,CT UPPER EXT RT W/WO CONT,73202,"$3,465.00"
 2603414,CT LOW EXTREM W/O CONT RT,73700,"$1,775.00"
 2603415,CT LOW EXTREM W/O CONT LT,73700,"$1,775.00"
 2603420,CT ABDOMEN W/O CONT,74150,"$2,241.00"
 2603422,CT ABDOMEN W/ CONT,74160,"$3,150.00"
 2603423,CT ABDOMEN W/WO CONT,74170,"$3,143.00"
 2603428,CT BONE DENSITY,77078,$441.00
 2603431,CT GUIDED NEEDLE PLACEMENT,77012,"$2,749.00"
 2603432,CT GUIDED RAD THPY FIELD,77014,"$2,749.00"
 2603433,CTA HEAD CAROTID/ COW WWO,70496TC,"$4,090.00"
 2603434,CT LIMITED SCAN,76380,$875.00
 2603435,CTA NECK,70498TC,$662.00
 2603436,CTA ABDOMEN,74175TC,"$2,200.00"
 2603437,CTA PELVIS,72191TC,$693.00
 2603438,CTA UPPER EXT,73206TC,$0.00
 2603439,CTA LOWER EXT,73706TC,$0.00
 2603440,CTA ABD AORTA LOWER EXT RUNOFF,75635TC,$0.00
 2603447,CT BIOPSY SOFT TISSUE NECK,21550,"$2,361.00"
 2603512,CT LOW EXT W/WO CONT,73702,"$2,715.00"
 2603514,CT 3D RECONSTRUCT W PROCESS,76377,"$1,312.00"
 2603523,CT FNA W IMAGE,10022,$674.00
 2603725,CT PELVIS W/WO CONT,72194,"$3,143.00"
 2606344,CT TRIPAK MEDRAD,,$16.00
 2625132,CT LOW EXT LT W/ CONT,73701,"$2,231.00"
 2625133,CT LOW EXT RT W/ CONT,73701,"$2,231.00"
 2657230,CT UPPER EXT UNILAT W/O CONT,73200,"$1,737.00"
 2800000,=>CANCEL IMAGING ORDER<=,,$0.00
 2802300,CTA CHEST W/ CONTRAST (PE STUDY),71275TC,"$3,353.00"
 2802301,FLOURO GUIDED LUMBAR PUNCTURE,77001,$833.00
 2802438,ARTHROGRAM WRIST LT,73115,$756.00
 2802439,ARTHROGRAM WRIST RT,73115,$756.00
 2802481,US OB 2-3 TRIMESTER,76805,$972.00
 2802498,DUP UPPER EXT ART UNILAT,93931,"$1,887.00"
 2802806,ISOVUE 300\ML,,$459.00
 2803405,CT PELVIS W/ CONT,,$0.00
 2803422,...,74177,"$4,410.00"
 2803423,CT ABDOMEN PELVIS W & WO CONT,74170,"$7,350.00"
 2803725,CT PELVIS W/WO CONT,,$0.00
 2806013,ARCHES ZYGOMATIC LT 3 VIEW,70150,$444.00
 2806014,ARCHES ZYGOMATIC RT 3 VIEW,70150,$444.00
 2806022,BARIUM ENEMA THERAPEUTIC,74283,$742.00
 2806075,URETHROCYSTOGRAPHY VOIDING,74455,$633.00
 2806076,CYSTOGRAM INJECTION,51600,$741.00
 2806077,CYSTOGRAM INJECTION CODE,51600,$741.00
 2806111,LOWER EXT INFANT RT,73592RT,$119.00
 2806112,LOWER EXT INFANT LT,73592LT,$119.00
 2806113,INFANT UPPER EXT LT,73092,$515.00
 2806114,INFANT UPPER EXT RT,73092RT,$515.00
 2806162,HYSTERO INJECTION CODE,58340,$487.00
 2806172,JOINTS STERNOCLAVICULAR LT 3 VIEW,71130,$309.00
 2806173,JOINTS STERNOCLAVICULAR RT 3 VIEW,71130,$309.00
 2806193,MANDIBLE 1-3 VIEW,70100,$326.00
 2806194,MANDIBLE RT 3 VIEW,70100,$326.00
 2806215,CHOLANGIO INTRA-OP,74300,$696.00
 2806222,HIP PEDIATRIC LT PELVIS & LATERAL HIP,73540,$240.00
 2806223,HIP PEDIATRIC RT PELVIS & LATERAL HIP,73540,$240.00
 2806234,PYELOGRAM INTRAVENOUS,74400,$837.00
 2806270,SCOLIOSIS STDY STANDNG AP & LAT T&L SPIN,72082,$315.00
 2806301,SPINE ENTIRE AP & LAT INFANT,72010,$554.00
 2806339,UROGRAPHY RETROGRADE,74420,$760.00
 2806345,VENOGRAM INJECTION,36005,"$1,028.00"
 2806447,INJ HIP ARTHROGRAM,27093,$698.00
 2806450,INJ KNEE ARTHROGRAM,27370,$595.00
 2806454,CHEST TUBE PLACEMENT,32551,$893.00
 2806490,PERITONEOCENTESIS,,$893.00
 2806500,INJ CYSTOGRAM,,$195.00
 2806504,INJ HYSTEROSALPINGO,,$595.00
 2806516,MANDIBLE PANORAMIC,70355,$317.00
 2806517,MANDIBLE MIN 4 VIEWS,70110,$671.00
 2806519,MASTOIDS MIN 3 VIEWS,70130,$802.00
 2806521,FACIAL BONES 1-2 VIEWS,70140,$327.00
 2806522,FACIAL BONES MIN 3 VIEWS,70150,$523.00
 2806523,ZYGOMATIC ARCHES,70150,$523.00
 2806526,OPTIC FORAMINA,70190,$514.00
 2806527,ORBITS MIN 4 VIEWS,70200,$514.00
 2806528,SINUSES 2 VIEWS,70210,$308.00
 2806529,SINUSES 1 VIEW,70210,$308.00
 2806531,SELLA TURCICA,70240,$307.00
 2806532,SKULL < 4 VIEWS,70250,$426.00
 2806534,SKULL MIN  4 VIEWS,70260,$600.00
 2806540,TMJ OPENED/CLOSED BILAT,70330,$602.00
 2806543,NECK SOFT TISSUE,70360,$307.00
 2806550,MENTAL HEALTH CXR1V,71010,$105.00
 2806551,CHEST 1 VIEW,71045TC,$277.00
 2806552,CHEST INSP/EXP,71046TC,$341.00
 2806553,CHEST 2 VIEW,71046TC,$341.00
 2806554,RAD CHEST AP INSP & EXP,71046TC,$341.00
 2806558,CHEST 4 VIEW MIN,71048TC,$530.00
 2806559,CHEST W/ FLUORO,77001,$433.00
 2806561,CHEST SPECIAL VIEWS,71035,$360.00
 2806567,RIBS 2 VIEWS BILATERAL,71110,$620.00
 2806568,RIBS 3+ VIEWS LT,71101,$480.00
 2806569,RIBS 3+ VIEWS RT,71101,$480.00
 2806571,RIBS BILAT W CHEST,71111,$619.00
 2806572,STERNUM MIN 2 VIEWS,71120,$413.00
 2806573,S C JOINTS MIN 4 VIEWS - BILAT,71130,$429.00
 2806575,CERVICAL SPINE 1 VIEW,72020,$391.00
 2806577,LUMBAR SPINE 1 VIEW,72020,$391.00
 2806578,CERVICAL SPINE 2-3 VIEWS,72040,$429.00
 2806579,CERVICAL SPINE MIN 4 VW,72050,$641.00
 2806582,THORACIC SPINE 2 VIEWS,72070,$476.00
 2806583,THORACIC SPINE 3 VIEWS,72072,$480.00
 2806586,SCOLIOSIS SUPINE & ERECT,72080TC,$476.00
 2806587,LUMBAR SPINE 2 VIEWS,72100,$455.00
 2806588,LUMBAR SPINE MIN 4 VIEW,72110,$567.00
 2806589,LUMBOSAC COMP W/BENDING,72114,$638.00
 2806590,LUMBOSAC BENDNG ONLY,72120,$442.00
 2806591,PELVIS 1-2 VIEWS,72170,$307.00
 2806592,PELVIS 3 + VIEWS,72170,$307.00
 2806594,SACROILIAC 1JT <3 VWS,72200,$488.00
 2806597,SACRUM &COCCYX MIN 2 VW,72220,$491.00
 2806598,MYELOGRAM CERVICAL,72240,"$1,432.00"
 2806599,MYELOGRAM THORACIC,72255,"$1,330.00"
 2806600,MYELOGRAM LUMBAR,72265,"$1,385.00"
 2806601,MYELOGRAM SPINE ENTIRE,72270,"$1,799.00"
 2806604,CLAVICLE LT,73000,$341.00
 2806605,CLAVICLE RT,73000,$341.00
 2806606,SCAPULA LT,73010,$406.00
 2806607,SCAPULA RT,73010,$406.00
 2806608,SHOULDER 1 VIEW LT,73020,$277.00
 2806609,SHOULDER 1 VIEW RT,73020,$277.00
 2806610,DIGITIZE PREVIOUS,,$0.00
 2806611,PAST DUE REPORT,,$0.00
 2806613,SHOULDER MIN 2 VIEWS RT,73030,$438.00
 2806614,ARTHROGRAM SHOULDER LT,73040,"$1,159.00"
 2806615,ARTHROGRAM SHOULDER RT,73040,"$1,159.00"
 2806616,ACROMICOCLAVICULAR JOINTS,73050,$422.00
 2806618,HUMERUS MIN 2 VIEWS LT,73060,$340.00
 2806619,HUMERUS MIN 2 VIEWS RT,73060,$340.00
 2806622,ELBOWS 2 VIEWS LT,73070,$266.00
 2806623,ELBOWS 2 VIEWS RT,73070,$266.00
 2806626,ELBOW MIN 3 VIEWS LT,73080,$351.00
 2806627,ELBOW MIN 3 VIEWS RT,73080,$351.00
 2806630,FOREARM 2 VIEWS LT,73090,$274.00
 2806631,FOREARM 2 VIEWS RT,73090,$274.00
 2806636,WRIST 2 VIEWS LT,73100,$254.00
 2806637,WRIST 2 VIEWS RT,73100,$254.00
 2806642,WRIST 3 VIEWS LT,73110,$347.00
 2806643,WRIST 3 VIEWS RT,73110,$347.00
 2806644,WRIST NAVICULAR 3 VWS LT,73110,$347.00
 2806645,WRIST NAVICULAR 3 VWS RT,73110,$347.00
 2806652,HAND MIN 3 VIEWS LT,73130,$314.00
 2806653,HAND MIN 3 VIEWS RT,73130,$314.00
 2806654,FINGER(S) MIN 2 VIEWS LT,73140,$234.00
 2806655,FINGER(S) MIN 2 VIEWS RT,73140,$234.00
 2806656,HIP 1 VIEW LT,73501TC,$263.00
 2806657,HIP 1 VIEW RT,73501TC,$263.00
 2806658,HIP COMP LT W/PELVIS 2VIEW,73502,$396.00
 2806659,HIP COMP RT W/PELVIS 2 VIEW,73502TC,$396.00
 2806660,HIP BILAT WITH PELVIS,73521TC,$499.00
 2806661,ARTHROGRAM HIP LT,73525,"$1,114.00"
 2806662,ARTHROGRAM HIP RT,73525,"$1,114.00"
 2806665,PLVS HIP INFNT CHILD 2V,73540,$422.00
 2806668,FEMUR 2 VIEWS LT,73552,$404.00
 2806669,FEMUR 2 VIEWS RT,73552,$404.00
 2806672,KNEE 1-2 VIEWS LT,73560,$267.00
 2806673,KNEE 1-2 VIEWS RT,73560,$267.00
 2806674,KNEE 3 VIEWS LT,73562,$373.00
 2806675,KNEE 3 VIEWS RT,73562TCRT,$373.00
 2806676,KNEE MIN 4 VIEWS LT,73564,$393.00
 2806677,KNEE MIN 4 VIEWS RT,73564,$393.00
 2806678,KNEES STANDING BILATERAL,73565,$373.00
 2806679,ARTHROGRAM KNEE LT,73580,"$1,071.00"
 2806680,ARTHROGRAM KNEE RT,73580,"$1,071.00"
 2806681,TIBIA FIBULA 2 VIEWS LT,73590,$286.00
 2806682,TIBIA FIBULA 2 VIEWS RT,73590,$286.00
 2806687,ANKLE 2 VIEWS LT,73600,$255.00
 2806688,ANKLE 2 VIEWS RT,73600,$255.00
 2806689,ANKLE 1 VIEW LT,73600TC52,$255.00
 2806690,ANKLE 1 VIEW RT,73600TC52,$255.00
 2806691,ANKLE MIN 3 VIEWS LT,73610,$332.00
 2806692,ANKLE MIN 3 VIEWS RT,73610,$332.00
 2806695,FOOT 2 VIEWS LT,73620LT,$226.00
 2806696,FOOT 2 VIEWS RT,73620,$226.00
 2806699,FOOT COMP LT,73630TCLT,$314.00
 2806700,FOOT COMP RT,73630,$314.00
 2806701,CALCANEUS MIN 2 VIEWS LT,73650,$260.00
 2806702,CALCANEUS MIN 2 VIEWS RT,73650,$260.00
 2806705,TOE(S) MIN 2 VIEWS LT,73660,$215.00
 2806706,TOE(S) MIN 2 VIEWS RT,73660,$215.00
 2806707,ABDOMEN 1 VIEW,74018TC,$277.00
 2806708,ABDOMEN DECUBITUS,74018TC,$277.00
 2806710,ABDOMEN 2 VIEW,74019TC,$386.00
 2806711,ABDOMEN SERIES W/CHEST,74022,$517.00
 2806715,ESOPHAGRAM,74220,$511.00
 2806717,MODIFIED BARIUM SWALLOW,74230,$656.00
 2806719,UPPER GI,74240,$804.00
 2806721,UPPER GI W/SM BOWEL,74245,"$1,015.00"
 2806722,UGI W/AIR CONTR,74246,$713.00
 2806725,SMALL BOWEL SERIES,74250,$846.00
 2806726,SM BOWEL ENTEROCLYCIS,74251,$846.00
 2806727,BARIUM ENEMA,74270,$704.00
 2806728,BARIUM ENEMA W/ AIR,74280,$859.00
 2806730,CHOLECYSTOGRAM ORAL CONT,74290,$762.00
 2806731,UPPER EXTREMITY COMBINED,74291,$0.00
 2806732,CHOLANGIOGRAM INTRAOP,74300,"$1,063.00"
 2806734,CHOLANGIO POST-OP,74305,$846.00
 2806737,ERCP PANCREATIC,74329,"$1,099.00"
 2806743,IVP W/ TOMO,74400,$771.00
 2806746,IVP NEPHROSTOGRAM,74415,"$1,111.00"
 2806747,RETROGRADE PYELOGRAM,74420,$951.00
 2806748,ACR,,$0.00
 2806749,CYSTOGRAM COMPLETE,74430,$655.00
 2806752,URETHROGRAM RETROGRADE,74450,$740.00
 2806753,VOIDING CYSTOGRAM,74455,$740.00
 2806761,DIL NEPH URETR/URETH,74485,$951.00
 2806764,HYSTEROSALPINGOGRAM,74740,$863.00
 2806802,VENOGRAM EXTREMTY UNI LT,75820,"$1,059.00"
 2806803,VENOGRAM EXTREMTY UNI RT,75820,"$1,059.00"
 2806804,VENOGRAM EXTREMTY BILAT,75822,"$1,402.00"
 2806819,FLUORO GUIDE VAD,77001,$615.00
 2806820,FLUROSCOPY < 1 HOUR,76000,$598.00
 2806821,FLUROSCOPY > 1 HOUR,76001,$910.00
 2806822,FLOURO GUIDE NEEDLE PLACEMENT,77002,$598.00
 2806823,FLOURO GUIDE SPINE INJCT,77003,$598.00
 2806825,INFANT 1 VIEW,76010,$119.00
 2806826,FOREIGN BODY CHILD 1 VW,76010,$119.00
 2806827,BONE AGE STUDIES,77072,$347.00
 2806828,BONE LENGTH STUDIES,77073,$655.00
 2806829,OSSEOUS SURVEY LTD,77074,$556.00
 2806830,BONE SURVEY COMPLETE,77075,"$1,067.00"
 2806835,ABCESS/FISTULAGRM/SINGRM,76080,$846.00
 2806847,ISOVUE 300/ML,,$278.00
 2806855,VISIPAQUE 270/ML,,$469.00
 2806856,ISOVUE 370/ML,,$276.00
 2806858,IOPAMIDOL 128\ML,,$246.00
 2806864,INSERT\REMOV CVP\PICC >5,,"$1,151.00"
 2806871,NASAL 3+ COMPLETE,70160,$372.00
 2806872,SINUSES MIN 3 VIEWS,70220,$619.00
 2806873,PACEMAKER INSERT FLUORO,71090,$951.00
 2806874,CERVICAL SPINE COMPLETE,72052,$641.00
 2806875,THORACOLUMBAR 2 VIEWS,72080,$461.00
 2806876,TOMOGRAPHY,76100,$340.00
 2806956,PERITONEOCENTSIS SUBSQ,49081,$973.00
 2806958,FNA W\IMAGE,10022,$694.00
 2812216,THYROID UPTAKE SINGLE,78000,"$1,052.00"
 2812219,THYROID SCAN/UPTAKE SGL,78006,"$1,658.00"
 2812221,THYROID SCAN ONLY,78010,$999.00
 2812226,PARATHYROID SCAN,78070,"$1,224.00"
 2812234,SPLEEN SCAN,78185,"$1,022.00"
 2812235,LYMPHSCINTIGRAPHY,78195,"$1,438.00"
 2812236,LIVER SCAN STATIC,78201,"$1,131.00"
 2812238,LIVER IMAGING SPECT,78205,"$1,564.00"
 2812240,LIVER & SPLEEN STATIC,78215,"$1,355.00"
 2812243,HEPATOBILIARY DUCT SCAN,78223,"$1,487.00"
 2812247,ESOPHAGEAL MOTILITY STDY,78258,$824.00
 2812250,GASTRIC EMPTYING STUDY,78264,"$1,445.00"
 2812251,SCHILLING W/O INTRINSIC,78270,$494.00
 2812252,SCHILLING W INTRINSIC,78271,$987.00
 2812253,ACUTE GI BLOOD LOSS,78278,"$1,238.00"
 2812254,BOWEL IMAGING (MECKELS),78290,"$1,362.00"
 2812256,BONE/JOINT IMAGE LTD,78300,"$1,238.00"
 2812258,BONE/JOINT WHOLE BODY,78306,"$1,539.00"
 2812259,BONE SCAN 3 PHASE,78315,"$1,633.00"
 2812261,BONE/JOINT SPECT STUDY,78320,"$1,591.00"
 2812272,MYOCARDIAL SPECT R/S SGL,78451,"$1,238.00"
 2812273,MYOCARDIAL SPECT R/S MLT,78452,"$1,238.00"
 2812274,MYOCARD INFARCT SCAN,78466,"$1,238.00"
 2812276,CARD BLD POOL R/S,78472,"$1,545.00"
 2812278,MYOCARD PERF WALL MOTION,78478,$976.00
 2812279,MYOCARDIAL PERF W/EJECT,78480,$976.00
 2812283,LUNG PERFUSION SCAN,78580,"$1,313.00"
 2812285,LUNG SCAN PERF/VENT,78585,"$1,947.00"
 2812286,LUNG SCAN AEROSOL SGL,78586,"$1,693.00"
 2812287,LUNG SCAN AEROSOL MULT,78587,"$1,136.00"
 2812294,BRAIN IMAGE COMPLT W/VAS,78606,"$1,382.00"
 2812298,CISTERNOGRAPHY,78630,"$1,476.00"
 2812303,RENAL IMAGE STATIC,78700,"$1,025.00"
 2812304,RENAL IMAGE W/FLOW,78701,"$1,266.00"
 2812305,RENAL IMAGE W/FUNCTION,78707,"$1,519.00"
 2812314,TESTICULAR SCAN,78761,$701.00
 2812316,TUMOR LOCALIZATION LTD,78800,"$1,263.00"
 2812317,TUMOR LOCALIZATION MULT,78801,"$1,561.00"
 2812318,WHOLE BODY SCAN,78802,"$1,616.00"
 2812319,TUMOR LOCALIZATION SPECT,78803,"$1,815.00"
 2812321,ABSCESS LOCAL LIMIT AREA,78805,"$1,874.00"
 2812324,DATA ANALYSIS 0-30 MIN,78890,$167.00
 2812326,HYPERTHYR THERAPY INIT,79005,"$1,238.00"
 2812331,RADIOPHARM THERAPY,79101,$833.00
 2812333,DIAGNOSTIC IMAGING AGENT,,$96.00
 2812335,TC 99 SESTAMIBI,,$821.00
 2812339,TC99 MDP UP TO 30 MCI,,$250.00
 2812341,THALLIUM 201 PER MCI,,$131.00
 2812344,TC99 HEPATOLITE PER DOSE,,$155.00
 2812349,TC99 DTPA\DOSE\25 MCI,,$274.00
 2812350,I-123 SODIUM IODIDE CAP,,$227.00
 2812353,TC99 MAA PER\DOSE\10MCI,,$238.00
 2812354,TC99 SULFUR COLLOID/DOSE,,$274.00
 2812356,STRONTIUM 89 PER MCI,,"$2,118.00"
 2812357,I-131 SOD IODID/MCI GRPA,,$215.00
 2812361,IN-111 DTPA/.5MCI,,"$1,999.00"
 2812369,TC99 MAG 3\DOSE <=15MCI,,$108.00
 2815001,INFUSION FIRST HOUR - RAD,96360,$262.00
 2815002,FIELD LOCALIZATION,77280,$829.00
 2815003,SIMULATION SIMPLE,77280,$829.00
 2815004,SIMULATION INTERMEDIATE,77285,"$1,160.00"
 2815005,SIMULATION COMPLEX,77290,"$1,543.00"
 2815006,3D TREATMENT PLAN/SIM,77295,"$4,878.00"
 2815007,BASIC DOSE CALCULATION,77300,$470.00
 2815008,IMRT PLAN,77301,"$6,663.00"
 2815009,SIMPLE ISODOSE PLAN,77305,$581.00
 2815010,INTERMED ISODOSE PLAN,77310,"$1,073.00"
 2815011,COMPLEX ISODOSE PLAN,77315,"$1,152.00"
 2815012,SPECIAL TELETHER PRT PLN,77321,"$1,165.00"
 2815013,SIMPLE BRACHY ISO PLAN,77326,$713.00
 2815014,INTRMD BRACHY ISO PLAN,77327,"$1,109.00"
 2815015,COMPLEX BRACHY ISO PLAN,77328,"$1,389.00"
 2815016,SPECIAL DOSIMETRY DOSECK,77331,$595.00
 2815017,TREATMENT DEVICE SIMPLE,77332,$522.00
 2815018,TREATMENT DEVICE INTERMD,77333,$740.00
 2815019,TREATMENT DEVICE COMPLEX,77334,"$1,063.00"
 2815020,PHYSICS WEEKLY,77336,$595.00
 2815021,SPECIAL PHYSICS CONSULT,77370,$860.00
 2815022,RADIATION TX <=5 SIMPLE,77402,$434.00
 2815023,RADIATION TX 6-10 SIMPLE,77403,$514.00
 2815024,RADIATION TX 11-19 SIMPL,77404,$514.00
 2815025,RADIATION TX 20+ SIMPLE,77406,$531.00
 2815026,RADIATION TX <=5 INTRMD,77407,$476.00
 2815027,RADIATION TX 6-10 INTRMD,77408,$717.00
 2815028,RADIATION TX 11-19 INTMD,77409,$627.00
 2815029,RADIATION TX 20+ INTRMD,77411,$623.00
 2815030,RADIATION TX <=5 COMPLEX,77412,$793.00
 2815031,RADIATION TX 6-10 COMPLX,77413,$753.00
 2815032,RADIATION TX 11-19 CMPLX,77414,$739.00
 2815033,RADIATION TX 20+ COMPLEX,77416,$852.00
 2815034,PORT FILM,77417,$245.00
 2815035,IM/SQ INJECTION,96372,$63.00
 2815036,FOLLOW UP RTX LEVEL 1,99211,$112.00
 2815037,FOLLOW UP RTX LEVEL 2,99212,$112.00
 2815038,FOLLOW UP RTX LEVEL 3,99213,$158.00
 2815039,FOLLOW UP RTX LEVEL 4,99214,$210.00
 2815040,FOLLOW UP RTX LEVEL 5,99215,$250.00
 2815053,SHOULDER MIN VIEWS RT,73030,$351.00
 2815151,SACRUM & COCCYX MIN 2 VW,72220,$448.00
 2815170,SPECIAL TREATMENT PROC,77470,"$2,208.00"
 2815171,CT GUIDED RAD THPY FIELD,77014,"$1,071.00"
 2815172,CBC AUTO NO DIFF,85027,$89.00
 2815174,TUMOR LOCALIZATION LTD,76380,$833.00
 2815187,LOW EXTREM CHILD 2V LT,73592,$286.00
 2815188,LOW EXTREM CHILD 2V RT,73592,$286.00
 2815197,IRRADIATION BLD EA,86945,$60.00
 2815198,ISOVUE 300/ML,,$344.00
 2815199,CYSTOGRAFIN 300\ML,,$157.00
 2815201,GASTROGRAFIN/ML,,$227.00
 2815203,VENIPUNCTURE,36415,$13.00
 2851136,HAND PA LAT 1 OBLQ,73130,$294.00
 2902003,US CAROTID DUPLEX DOPPLER,93880,"$1,067.00"
 2902013,US DUPLEX ARTER LOW EXT LT,93926,$725.00
 2902014,US DUPLEX ARTER LOW EXT RT,93926,$725.00
 2902449,US ANGIO EXTREMITY UNI LT,75710,"$2,858.00"
 2902450,US ANGIO EXTREMITY UNI RT,75710,"$2,858.00"
 2902458,US SOFT TISSUE NECK,76536,$587.00
 2902459,US CHEST,76604,$587.00
 2902460,US BREAST LT,76645,$587.00
 2902461,US BREAST RT,76645,$587.00
 2902462,US ABDOMEN COMPLETE,76700,$972.00
 2902465,US GALL BLADDER,76705,$594.00
 2902466,US GB/CCK,76705,$594.00
 2902467,US BILE DUCT,76705,$594.00
 2902468,US SPLEEN,76705,$594.00
 2902469,US PANCREAS,76705,$594.00
 2902471,US ABDOMEN LIMITED,76705,$658.00
 2902473,US AORTA,76770,$791.00
 2902474,US RENAL,76770,$791.00
 2902478,US RENAL LT,76775,$791.00
 2902479,US RENAL RT,76775,$791.00
 2902482,US OB LIMITED,76815,$587.00
 2902483,US OB FOLLOW-UP,76816,$595.00
 2902484,US FETAL BIOPHYSICL PROF,76818,$682.00
 2902485,US TRANSVAGINAL,76830,$614.00
 2902486,US PELVIS COMPLETE,76856,$791.00
 2902487,US SCROTUM/TESTICLES,76870,$674.00
 2902488,US NON-VAS EXT LIMITED LT,76882,$578.00
 2902489,US NON-VAS EXT LIMITED RT,76881,$578.00
 2902491,US GUIDE PARACENTESIS,49083,"$1,600.00"
 2902492,US CAROTID DUPLEX DOPPLER,93880,"$1,067.00"
 2902493,US DUP EXTRACRANIAL ART UNI,93882,$819.00
 2902494,US TRANSCRAN DOPPLR OPTHAL,93888,$530.00
 2902495,US DUP LOWER EXT ART BILAT,93925,"$1,058.00"
 2902496,US DUP LOWER EXT ART UNI LT,93926,"$1,306.00"
 2902497,US DUP UPPER EXT ART BILAT,93930,$979.00
 2902499,US DUP LOWER EXT VEIN BILAT,93970,"$1,141.00"
 2902501,US DUP LOWER EXT VEIN LT,93971,$752.00
 2902502,US DUP LOWER EXT VEIN RT,93971,$752.00
 2902503,US DUP UPPER EXT VEIN UNI L,93971,$752.00
 2902504,US DUP UPPER EXT VEIN RT,93971,$752.00
 2902509,US PUNC ASP CYST BREAST,19000,$357.00
 2902527,AMNIOCENTESIS DIAGNOSTIC,59000,$476.00
 2902536,US SOFT TISSUE MASS NON SPEC,76999,$595.00
 2902537,US GROIN,76882,$595.00
 2902539,US DUPLEX RENAL ART/VEN FLOW ORG,93975TC,"$1,006.00"
 2902551,US DUP LOWER EXT ART UNI RT,93926,"$1,306.00"
 2905143,US PUNC ASP CYST BREAST,19000,$491.00
 2905182,US GUIDANCE PERCUT DRAINAGE,76942,"$1,477.00"
 2905186,US SOFT PARATHYROID,76536,$587.00
 2905187,US CHEST,76604,$587.00
 2905188,US BREAST UNI LT,76645,$595.00
 2905189,US BREAST UNI RT,76645,$595.00
 2905191,US BREAST BILAT,76645,$595.00
 2905192,US ABDOMEN,76700,$972.00
 2905193,US ASCITES,76700,$972.00
 2905198,US LIVER,76705,$594.00
 2905199,US SPLEEN,76705,$594.00
 2905201,US SOFT TISSUE LIMITED,76705,$594.00
 2905204,US RENAL,76770,$791.00
 2905207,US RETROPERITONEAL LTD,76775,$611.00
 2905208,US RENAL TRANSPLANT,76776,$734.00
 2905210,US OB 1ST TRIM,76801,$618.00
 2905212,US OB >14 WKS 1ST GEST,76805,$713.00
 2905213,US OB 2-3 TRIM ADDL,76810,$706.00
 2905219,US FETAL BIOPHYSCAL PROF,76818,$682.00
 2905222,US TRANSVAGINAL,76830,$614.00
 2905224,US BLADDER,76857,$591.00
 2905226,US SCROTUM/TESTICLES,76870,$674.00
 2905228,US NON VAS EXTREMITY LT,76882,$578.00
 2905229,US NON VAS EXTREMITY RT,76882,$578.00
 2905236,US GUIDE NEEDLE PLACEMNT,76942,$972.00
 2905238,US GUIDE AMMIOCENTESIS,76946,$972.00
 2905242,US THYROID,76536,$595.00
 2905248,US DUP EXTRACRANIAL ART BIL,93880,"$1,067.00"
 2905249,US DUP EXTRACRANIAL ART UNI,93882,$796.00
 2905250,US TRANSCRANIAL DOPPLER,93886,$999.00
 2905252,ANKLE/BRACHIAL INDICES ULTRASOUND DEPT,93922,$492.00
 2905257,US LOWER EXT ART BILAT,93925,"$1,058.00"
 2905258,US LOWER EXT ART UNI LT,93926,"$1,306.00"
 2905259,US LOWER EXT ART UNI RT,93926,"$1,306.00"
 2905360,US UPPER EXT ART BILAT,93930,$979.00
 2905361,US UPPER EXT ART UNI LT,93931,"$1,887.00"
 2905362,US UPPER EXT ART UNI RT,93931,"$1,887.00"
 2905365,US DUP LOWER EXT VEIN BILAT,93970,"$1,127.00"
 2905366,US DUP LOWER EXT VEIN LT,93971,$752.00
 2905367,US DUP LOWER EXT VEIN RT,93971,$752.00
 2905368,US DUP UPPER EXT VEIN BILAT,93970,"$1,127.00"
 2905369,US DUP UPPER EXT VEIN LT,93971,$752.00
 2905370,US DUP UPPER EXT VEIN RT,93971,$752.00
 2905371,US DUPLEX ART/VEN FLOW ORG,93975,"$1,006.00"
 2905372,US DUPLEX ART/VEN FLOW LTD,93976,$676.00
 2905379,US GUIDE VENOUS ACCESS,76937,$588.00
 2906317,US HEADCRANIAL INFANTS,76506,$277.00
 2906344,US SPINAL CANAL & CONTENTS INFANT,76800,$699.00
 2910062,US EEG AWAKE AND DROWSY,95816,$819.00
 2953033,US INTRAOPERATIVE MONIT,76999,$322.00
 3100100,***DEVELOPER CHEMISTRY STARTER .5 AUTEX,,$0.00
 3102848,MM INJ PROC GALACTOGRAM,,$595.00
 3102849,MM BIOPSY NDL CORE BREAST,,$238.00
 3102853,MM PLACE NDL WIRE BREAST,,$595.00
 3102856,MM FLUORO NDL LOCALIZATN,77002,$586.00
 3102864,MM DIAG UNI LT,77055,$370.00
 3102865,MM DIAG UNI RT,77055,$370.00
 3102866,MM IMPL BILAT,77056,$370.00
 3102867,MM DIAG IMPL RT,77055,$220.00
 3102872,MM DIAG BILAT,77056,$381.00
